target,actorAv0,actorAv1,actorAv2,actorAv3,actorAv4,actorAv5,actorAv6,actorAv7,actorAv8,actorAv9,actorPo0,actorPo1,actorPo2,actorPo3,actorPo4,actorPo5,actorPo6,actorPo7,actorPo8,actorPo9,crewAv0,crewAv1,crewAv2,crewAv3,crewAv4,crewAv5,crewAv6,crewPo0,crewPo1,crewPo2,crewPo3,crewPo4,crewPo5,crewPo6
69,6.850000000000001,6.785000000000001,6.438888888888891,6.289473684210527,6.794736842105264,6.1690476190476184,6.4217391304347835,5.785714285714286,6.454285714285715,6.900000000000001,2.708,1.644,6.944,2.346,1.763,1.417,0.995,2.596,1.568,0.6,6.758823529411766,6.758823529411766,6.758823529411766,6.758823529411766,6.758823529411766,6.758823529411766,6.758823529411766,0.652,0.652,0.652,0.652,0.652,0.652,0.652
77,6.960975609756098,6.118852459016396,5.826086956521742,6.9,6.3321428571428555,7.244827586206897,6.260975609756097,6.112903225806453,5.538947368421054,5.678947368421053,9.646,10.0,13.73,3.913,15.341,9.076,9.775,4.435,3.096,4.6,7.37777777777778,6.258163265306124,6.404761904761906,7.37777777777778,5.886206896551725,7.37777777777778,7.37777777777778,8.894,1.88,0.6,8.894,1.515,8.894,8.894
58,5.701408450704225,5.979310344827585,6.017391304347825,5.918181818181818,5.851063829787234,5.863013698630137,5.7444444444444445,5.604504504504503,6.031034482758619,5.6761904761904765,10.201,26.294,14.711,6.783,4.545,8.471,5.531,8.332,4.706,4.114,6.234615384615382,6.33809523809524,6.270588235294117,5.729268292682927,6.387499999999998,6.234615384615382,6.234615384615382,9.546,2.164,1.502,2.121,5.263,9.546,9.546
69,7.154545454545454,5.887096774193548,6.242857142857146,5.675641025641025,6.229268292682928,5.684313725490196,5.581308411214952,4.821428571428574,6.2593749999999995,5.608823529411765,20.796,4.558,7.933,7.187,6.403,8.015,6.191,1.459,3.09,7.238,5.98125,4.663157894736843,5.99,5.98125,5.98125,5.98125,5.98125,2.856,2.362,3.437,2.856,2.856,2.856,2.856
75,6.105882352941177,6.9734693877551015,6.729032258064516,6.134545454545455,5.975362318840581,6.590625,6.41388888888889,6.22,7.5,6.9105263157894745,7.163,9.7,10.886,7.619,6.277,3.83,4.103,0.6,0.98,0.6,6.606896551724137,7.5,6.606896551724137,6.8875,6.8875,7.5,6.606896551724137,2.496,0.6,2.496,0.694,0.6,0.6,2.496
72,6.502702702702703,5.759459459459461,6.409803921568626,6.9692307692307685,5.659999999999999,6.063999999999998,7.200000000000002,6.712000000000001,5.873529411764706,5.800000000000002,19.212,5.725,11.319,2.568,3.041,2.307,1.637,2.276,2.245,1.021,6.315789473684212,6.682926829268292,6.770588235294119,6.315789473684212,6.315789473684212,6.315789473684212,6.315789473684212,4.059,0.6,3.388,4.059,4.059,4.059,4.059
79,6.376190476190475,6.442424242424244,7.381250000000001,6.8047619047619055,6.194444444444445,4.988235294117647,6.581818181818184,6.614285714285715,5.521739130434781,5.03076923076923,15.397,4.334,6.331,3.066,2.194,7.534,1.417,1.866,1.064,5.004,7.794117647058825,6.971428571428573,7.900000000000001,7.311111111111113,7.794117647058825,7.794117647058825,7.794117647058825,8.16,0.6,2.218,2.228,8.16,8.16,8.16
74,6.904444444444445,5.952252252252252,5.510000000000001,6.2283333333333335,5.803225806451614,5.814285714285715,6.6,6.358333333333334,4.802564102564103,6.234375000000001,6.12,16.657,17.426,6.239,4.012,7.853,6.864,1.048,3.327,6.732,7.044827586206898,6.462745098039217,6.748571428571428,7.089473684210527,6.9333333333333345,7.089473684210527,7.044827586206898,2.544,1.88,1.38,1.584,2.364,1.584,2.544
46,5.3206185567010325,5.168749999999999,5.233333333333334,5.306896551724138,5.91904761904762,4.900000000000001,5.460000000000001,5.517647058823531,3.7210526315789476,5.540000000000002,7.137,2.703,2.268,1.166,0.758,0.6,1.4,0.648,0.98,0.6,3.683333333333334,3.683333333333334,3.683333333333334,3.683333333333334,3.683333333333334,3.683333333333334,3.683333333333334,0.828,0.828,0.828,0.828,0.828,0.828,0.828
71,6.6499999999999995,6.27391304347826,6.178260869565216,6.212,5.909374999999999,6.637499999999998,5.576315789473685,5.98148148148148,6.579999999999998,7.019999999999999,20.61,8.31,3.467,3.838,10.243,1.805,6.575,3.148,1.4,0.698,6.579999999999998,6.169767441860464,5.823999999999999,6.777272727272727,5.823999999999999,6.579999999999998,6.579999999999998,0.706,1.991,2.856,3.648,2.856,0.706,0.706
